Altium Designer Pick and Place Locations
D:\GitWS\git-repository\ec\PCB\Bus_Adaptor_Hw\Project Outputs for Bus_Adaptor_Hw\Pick Place for BusAdaptor_final.csv

========================================================================================================================
File Design Information:

Date:       06/06/20
Time:       20:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"","Comment","TopLayer","WTR_LOGO","-995.000mil","-2280.000mil","180",""
"C29","1uF","BottomLayer","0201","1174.866mil","515.000mil","270",""
"C28","0.1uF","BottomLayer","0201","1191.197mil","515.000mil","270",""
"C50","22pF","TopLayer","0402_C","1921.024mil","281.000mil","360",""
"U2","HS USB PHY","TopLayer","QFN50P500X500X100-32N","1164.527mil","963.425mil","90","高速USB外置PHY"
"P2","TYPE_C","TopLayer","TYPE-C-TOP","735.000mil","1040.000mil","90","TYPE_C"
"XT3","16M","TopLayer","OSC_3225-4P","1919.068mil","368.731mil","90","4脚无源晶振"
"LED1","RGB-1.6x1.6","TopLayer","RGB-1.6X1.6","490.000mil","550.000mil","360","3528三基色LED"
"XT2","8M","TopLayer","CRYSTAL-SMD-5032","1386.500mil","375.500mil","270","晶振"
"XT1","24M","TopLayer","CRYSTAL-SMD-5032","1405.500mil","939.500mil","90","晶振"
"U9","LP5907","TopLayer","SOT-23-5","1530.000mil","290.000mil","270",""
"U8","MAX3232CSE","BottomLayer","SOIC-16_150mil","287.362mil","980.000mil","270",""
"U7","SN65HVD230DR","TopLayer","SOIC-8_150mil","320.000mil","826.339mil","0",""
"U6","REF3033","TopLayer","SOT-23(SOT-23-3)","1432.000mil","553.268mil","180","REF3033电压参考源"
"U5","SPX3819M5-L-3-3","BottomLayer","SOT-23-5","495.000mil","688.000mil","90",""
"U3","RFX2401C","TopLayer","RFX2401C","1717.024mil","740.999mil","90","用AT24L01C更好"
"U1","STM32F407VGT6","TopLayer","TQFP-100","917.835mil","385.315mil","180","ARM Cortex-M4 32b MCU+FPU, 1024 kB Flash, 192+4 kB RAM,82 I/Os, 100-pin LQFP"
"T1","S8050","BottomLayer","SOT-23(SOT-23-3)","1678.000mil","86.000mil","180","NPN"
"R32","60R","TopLayer","0402_R","354.000mil","1014.268mil","270","resistor"
"R31","60R","TopLayer","0402_R","297.000mil","1016.000mil","270","resistor"
"R30","0R","TopLayer","0201","200.000mil","1143.622mil","360","resistor"
"R29","1K","TopLayer","0402_R","628.268mil","848.614mil","180","resistor"
"R28","1K","TopLayer","0402_R","1869.067mil","731.157mil","180","resistor"
"R27","1K","TopLayer","0402_R","1921.024mil","521.999mil","270","resistor"
"R26","10K","BottomLayer","0402_R","460.000mil","130.472mil","270","resistor"
"R25","10K","BottomLayer","0402_R","1548.000mil","86.000mil","180","resistor"
"R24","10K","TopLayer","0402_R","1198.501mil","25.000mil","180","resistor"
"R23","510R","BottomLayer","0402_R","1549.000mil","50.000mil","360","resistor"
"R22","22K 1%","TopLayer","0402_R","1635.000mil","518.731mil","270","resistor"
"R21","22K 1%","TopLayer","0402_R","1669.000mil","427.000mil","90","resistor"
"R20","12K 1%","TopLayer","0402_R","1270.000mil","1070.000mil","315","resistor"
"R19","0R","BottomLayer","0402_R","340.000mil","170.000mil","360","resistor"
"R18","1M","TopLayer","0201","1328.205mil","943.345mil","90","resistor"
"R17","0R","TopLayer","0402_R","338.465mil","123.370mil","360","resistor"
"R16","1M","BottomLayer","0201","562.000mil","1039.000mil","180","resistor"
"R15","0R","TopLayer","0402_R","338.268mil","183.898mil","360","resistor"
"R14","0R","TopLayer","0402_R","338.268mil","240.000mil","360","resistor"
"R13","0R","TopLayer","0402_R","340.000mil","299.071mil","360","resistor"
"R12","0R","TopLayer","0402_R","340.000mil","360.000mil","360","resistor"
"R11","0R","BottomLayer","0402_R","340.000mil","380.000mil","360","resistor"
"R10","0R","BottomLayer","0402_R","340.000mil","320.000mil","360","resistor"
"R9","4.7K","TopLayer","0402_R","870.649mil","860.381mil","270","resistor"
"R8","0R","BottomLayer","0402_R","340.000mil","440.000mil","360","resistor"
"R7","0R","TopLayer","0402_R","340.000mil","426.957mil","360","resistor"
"R6","0R","BottomLayer","0402_R","340.000mil","500.000mil","360","resistor"
"R5","0R","TopLayer","0402_R","340.000mil","525.000mil","0","resistor"
"R4","0R","BottomLayer","0402_R","340.000mil","560.000mil","360","resistor"
"R3","0R","BottomLayer","0402_R","340.000mil","610.000mil","360","resistor"
"R2","0R","TopLayer","0402_R","340.000mil","580.000mil","0","resistor"
"R1","0R","TopLayer","0402_R","340.000mil","640.000mil","0","resistor"
"P1","MINI_PCIE","TopLayer","MINIPCIE","59.514mil","593.295mil","270",""
"NRF24L01","NRF24L01","TopLayer","QFN-20_4X4X05P","1750.024mil","346.999mil","90",""
"L6","2.7nH","TopLayer","0402_L","1813.000mil","483.740mil","90",""
"L5","8.2nH","TopLayer","0402_L","1760.000mil","470.000mil","180",""
"L4","3.9nH","TopLayer","0402_L","1744.024mil","518.731mil","90",""
"L3","3.9nH","TopLayer","0402_L","1745.756mil","849.999mil","360",""
"L2","1K@100MHz","TopLayer","0603_L","1311.000mil","692.909mil","90",""
"L1","120R@100M","BottomLayer","0603_L","505.000mil","1055.000mil","90",""
"H6","T","TopLayer","TESTPOINT","296.732mil","46.000mil","90",""
"H5","T","TopLayer","TESTPOINT","529.000mil","47.000mil","90",""
"H4","Φ2.6","TopLayer","HOLD","1895.000mil","1070.000mil","0",""
"H3","T","TopLayer","TESTPOINT","375.000mil","47.000mil","90",""
"H2","T","TopLayer","TESTPOINT","450.000mil","47.000mil","90",""
"H1","Φ2.6","TopLayer","HOLD","1895.000mil","115.000mil","0",""
"F1","500mA","BottomLayer","0805_R","660.000mil","1055.000mil","360","FUSE"
"E1","Antenna","TopLayer","IPEX","1907.500mil","850.000mil","270","Generic Antenna"
"D20","LED","TopLayer","0603_L","547.000mil","848.614mil","180",""
